Suburb,Postcode,State,Address,Lat,Lng,Local government area
Doncaster,3108,VIC,"Doncaster,3108,VIC",-37.7865824,145.1210303,City of Manningham
Doncaster East,3109,VIC,"Doncaster East,3109,VIC",-37.7883929,145.1541397,City of Manningham
Donvale,3111,VIC,"Donvale,3111,VIC",-37.7901921,145.1872619,City of Manningham
North Warrandyte,3113,VIC,"North Warrandyte,3113,VIC",-37.726,145.216,Shire of Nillumbik
Warrandyte,3113,VIC,"Warrandyte,3113,VIC",-37.738,145.223,City of Manningham
Park Orchards,3114,VIC,"Park Orchards,3114,VIC",-37.7760752,145.2148736,City of Manningham
Park Orchards,3114,VIC,"Park Orchards,3114,VIC",-37.7760752,145.2148736,City of Maroondah
Wonga Park,3115,VIC,"Wonga Park,3115,VIC",-37.7347069,145.2590707,City of Manningham
Chirnside Park,3116,VIC,"Chirnside Park,3116,VIC",-37.7373267,145.3088196,Shire of Yarra Ranges
Burnley,3121,VIC,"Burnley,3121,VIC",-37.8296728,145.0126479,City of Yarra
Cremorne,3121,VIC,"Cremorne,3121,VIC",-37.83,144.993,City of Yarra
Richmond,3121,VIC,"Richmond,3121,VIC",-37.823,144.998,City of Yarra
Hawthorn,3122,VIC,"Hawthorn,3122,VIC",-37.8222114,145.0328017,City of Boroondara
Hawthorn East,3123,VIC,"Hawthorn East,3123,VIC",-37.8310813,145.0520938,City of Boroondara
Camberwell,3124,VIC,"Camberwell,3124,VIC",-37.8334095,145.0658766,City of Boroondara
Burwood,3125,VIC,"Burwood,3125,VIC",-37.8483275,145.1099967,City of Monash;City of Whitehorse
Canterbury,3126,VIC,"Canterbury,3126,VIC",-37.8245223,145.0741474,City of Boroondara
Mont Albert,3127,VIC,"Mont Albert,3127,VIC",-37.816111,145.11,City of Boroondara;City of Whitehorse
Mont Albert North,3127,VIC,"Mont Albert North,3127,VIC",-37.8259003,145.0989646,City of Boroondara
Surrey Hills,3127,VIC,"Surrey Hills,3127,VIC",-37.83,145.106,City of Boroondara;City of Whitehorse
Box Hill,3128,VIC,"Box Hill,3128,VIC",-37.8181073,145.1238563,City of Whitehorse
Box Hill South,3128,VIC,"Box Hill South,3128,VIC",-37.836,145.124,City of Whitehorse
Box Hill North,3129,VIC,"Box Hill North,3129,VIC",-37.8083033,145.125759,City of Whitehorse
Blackburn,3130,VIC,"Blackburn,3130,VIC",-37.826,145.151,City of Whitehorse
Blackburn North,3130,VIC,"Blackburn North,3130,VIC",-37.8064051,145.1586444,City of Whitehorse
Blackburn South,3130,VIC,"Blackburn South,3130,VIC",-37.838,145.144,City of Whitehorse
Forest Hill,3131,VIC,"Forest Hill,3131,VIC",-37.842,145.172,City of Whitehorse
Nunawading,3131,VIC,"Nunawading,3131,VIC",-37.8184273,145.1760206,City of Manningham;City of Whitehorse
Mitcham,3132,VIC,"Mitcham,3132,VIC",-37.8219905,145.1983055,City of Whitehorse
Vermont,3133,VIC,"Vermont,3133,VIC",-37.838,145.198,City of Maroondah;City of Whitehorse
Vermont,3133,VIC,"Vermont,3133,VIC",-37.838,145.198,City of Whitehorse
Vermont South,3133,VIC,"Vermont South,3133,VIC",-37.8565882,145.183373,City of Whitehorse
Ringwood,3134,VIC,"Ringwood,3134,VIC",-37.8106372,145.2307011,City of Maroondah
Ringwood North,3134,VIC,"Ringwood North,3134,VIC",-37.799883,145.226877,City of Manningham;City of Maroondah
Warrandyte South,3134,VIC,"Warrandyte South,3134,VIC",-37.7605268,145.2452567,City of Manningham
Warranwood,3134,VIC,"Warranwood,3134,VIC",-37.777,145.249,City of Maroondah
Heathmont,3135,VIC,"Heathmont,3135,VIC",-37.83,145.242,City of Maroondah
Ringwood East,3135,VIC,"Ringwood East,3135,VIC",-37.818,145.252,City of Maroondah
Croydon,3136,VIC,"Croydon,3136,VIC",-37.796,145.281,City of Maroondah
Croydon Hills,3136,VIC,"Croydon Hills,3136,VIC",-37.775,145.266,City of Maroondah
Croydon North,3136,VIC,"Croydon North,3136,VIC",-37.767,145.287,City of Maroondah
Croydon South,3136,VIC,"Croydon South,3136,VIC",-37.814,145.271,City of Maroondah
Kilsyth,3137,VIC,"Kilsyth,3137,VIC",-37.802,145.316,City of Maroondah
Kilsyth,3137,VIC,"Kilsyth,3137,VIC",-37.802,145.316,Shire of Yarra Ranges
Kilsyth South,3137,VIC,"Kilsyth South,3137,VIC",-37.8296238,145.3115843,City of Maroondah
Mooroolbark,3138,VIC,"Mooroolbark,3138,VIC",-37.7822365,145.3309395,Shire of Yarra Ranges
Beenak,3139,VIC,"Beenak,3139,VIC",-37.8986154,145.6090481,Shire of Yarra Ranges
Don Valley,3139,VIC,"Don Valley,3139,VIC",-37.761389,145.584444,Shire of Yarra Ranges
Hoddles Creek,3139,VIC,"Hoddles Creek,3139,VIC",-37.833,145.583,Shire of Yarra Ranges
Launching Place,3139,VIC,"Launching Place,3139,VIC",-37.774,145.588,Shire of Yarra Ranges
Seville,3139,VIC,"Seville,3139,VIC",-37.777,145.461,Shire of Yarra Ranges
Seville East,3139,VIC,"Seville East,3139,VIC",-37.774,145.491,Shire of Yarra Ranges
Wandin East,3139,VIC,"Wandin East,3139,VIC",-37.811,145.453,Shire of Yarra Ranges
Wandin North,3139,VIC,"Wandin North,3139,VIC",-37.769,145.411,Shire of Yarra Ranges
Woori Yallock,3139,VIC,"Woori Yallock,3139,VIC",-37.778,145.528,Shire of Yarra Ranges
Yellingbo,3139,VIC,"Yellingbo,3139,VIC",-37.81,145.51,Shire of Yarra Ranges
Lilydale,3140,VIC,"Lilydale,3140,VIC",-37.7643547,145.3475331,Shire of Yarra Ranges
South Yarra,3141,VIC,"South Yarra,3141,VIC",-37.838568,144.9914761,City of Melbourne;City of Stonnington
Toorak,3142,VIC,"Toorak,3142,VIC",-37.8432402,145.0190242,City of Stonnington
Armadale,3143,VIC,"Armadale,3143,VIC",-37.857253,145.0190242,City of Stonnington
Kooyong,3144,VIC,"Kooyong,3144,VIC",-37.841944,145.035,City of Stonnington
Malvern,3144,VIC,"Malvern,3144,VIC",-37.8572432,145.0341642,City of Stonnington
Caulfield East,3145,VIC,"Caulfield East,3145,VIC",-37.8791959,145.0444397,City of Glen Eira
Malvern East,3145,VIC,"Malvern East,3145,VIC",-37.8773116,145.059272,City of Stonnington
Glen Iris,3146,VIC,"Glen Iris,3146,VIC",-37.8577136,145.0548502,City of Boroondara;City of Stonnington
Ashburton,3147,VIC,"Ashburton,3147,VIC",-37.866944,145.083056,City of Boroondara
Ashwood,3147,VIC,"Ashwood,3147,VIC",-37.867,145.103,City of Monash
Chadstone,3148,VIC,"Chadstone,3148,VIC",-37.8819831,145.0989646,City of Monash
Mount Waverley,3149,VIC,"Mount Waverley,3149,VIC",-37.8772869,145.1265477,City of Monash
Glen Waverley,3150,VIC,"Glen Waverley,3150,VIC",-37.8743502,145.1668205,City of Monash
Wheelers Hill,3150,VIC,"Wheelers Hill,3150,VIC",-37.9067871,145.1890123,City of Monash
Burwood East,3151,VIC,"Burwood East,3151,VIC",-37.8552869,145.1513801,City of Whitehorse
Wantirna,3152,VIC,"Wantirna,3152,VIC",-37.8479567,145.2289289,City of Knox
Wantirna South,3152,VIC,"Wantirna South,3152,VIC",-37.8769518,145.2329617,City of Knox
Bayswater,3153,VIC,"Bayswater,3153,VIC",-37.843,145.268,City of Knox
Bayswater North,3153,VIC,"Bayswater North,3153,VIC",-37.827,145.28,City of Maroondah
The Basin,3154,VIC,"The Basin,3154,VIC",-37.8534742,145.3198788,City of Knox
Boronia,3155,VIC,"Boronia,3155,VIC",-37.8610682,145.2867055,City of Knox
Ferntree Gully,3156,VIC,"Ferntree Gully,3156,VIC",-37.8862,145.2821,City of Knox
Lysterfield,3156,VIC,"Lysterfield,3156,VIC",-37.93,145.301,City of Knox(as a suburb);Shire of Yarra Ranges(as a rural locality)
Lysterfield South,3156,VIC,"Lysterfield South,3156,VIC",-37.949,145.26,City of Casey
Upper Ferntree Gully,3156,VIC,"Upper Ferntree Gully,3156,VIC",-37.895,145.31,City of Knox;Shire of Yarra Ranges
Upwey,3158,VIC,"Upwey,3158,VIC",-37.9039829,145.3309395,Shire of Yarra Ranges
Menzies Creek,3159,VIC,"Menzies Creek,3159,VIC",-37.931,145.398,Shire of Cardinia;Shire of Yarra Ranges
Selby,3159,VIC,"Selby,3159,VIC",-37.914,145.369,Shire of Yarra Ranges
Belgrave,3160,VIC,"Belgrave,3160,VIC",-37.912067,145.3558,Shire of Yarra Ranges
Belgrave Heights,3160,VIC,"Belgrave Heights,3160,VIC",-37.923,145.34,Shire of Yarra Ranges
Belgrave South,3160,VIC,"Belgrave South,3160,VIC",-37.94,145.356,Shire of Yarra Ranges
Tecoma,3160,VIC,"Tecoma,3160,VIC",-37.906,145.344,Shire of Yarra Ranges
Caulfield North,3161,VIC,"Caulfield North,3161,VIC",-37.8712631,145.0190242,City of Glen Eira
Caulfield,3162,VIC,"Caulfield,3162,VIC",-37.884,145.0266,City of Glen Eira
Caulfield South,3162,VIC,"Caulfield South,3162,VIC",-37.891,145.026,City of Glen Eira
Carnegie,3163,VIC,"Carnegie,3163,VIC",-37.888,145.062,City of Glen Eira
Glen Huntly,3163,VIC,"Glen Huntly,3163,VIC",-37.8927437,145.0410692,City of Glen Eira
Murrumbeena,3163,VIC,"Murrumbeena,3163,VIC",-37.8978307,145.070895,City of Glen Eira
Bentleigh East,3165,VIC,"Bentleigh East,3165,VIC",-37.9174873,145.0658766,City of Glen Eira
Hughesdale,3166,VIC,"Hughesdale,3166,VIC",-37.8966159,145.0832264,City of Monash
Huntingdale,3166,VIC,"Huntingdale,3166,VIC",-37.9074344,145.1086176,City of Monash
Oakleigh,3166,VIC,"Oakleigh,3166,VIC",-37.8990236,145.0923305,City of Monash
Oakleigh East,3166,VIC,"Oakleigh East,3166,VIC",-37.9085262,145.1181383,City of Monash
Oakleigh South,3167,VIC,"Oakleigh South,3167,VIC",-37.9193474,145.0989646,City of Monash
Clayton,3168,VIC,"Clayton,3168,VIC",-37.9211962,145.1320653,City of Monash
Notting Hill,3168,VIC,"Notting Hill,3168,VIC",-37.9048347,145.1458611,City of Monash
Clarinda,3169,VIC,"Clarinda,3169,VIC",-37.941,145.103,City of Kingston
Clayton South,3169,VIC,"Clayton South,3169,VIC",-37.9388113,145.1267061,City of Kingston
Mulgrave,3170,VIC,"Mulgrave,3170,VIC",-37.9267579,145.1762197,City of Monash
